filename,label,box_1_coords,box_2_coords
112544505.jpg,3.0,,
90644668.jpg,0.0,,
85378047.jpg,3.0,,
121711094.jpg,0.0,,
98377949.jpg,1.0,,
89644702.jpg,0.0,,
97144681.jpg,1.0,,
101411263.jpg,1.0,,
92711329.jpg,1.0,,
86078056.jpg,3.0,,
85144720.jpg,3.0,,
107077877.jpg,3.0,,
90044679.jpg,0.0,,
75511455.jpg,3.0,"{""x1"": 130, ""y1"": 342, ""x2"": 245, ""y2"": 397}","{""x1"": 168, ""y1"": 18, ""x2"": 237, ""y2"": 81}"
96144653.jpg,1.0,,
92477991.jpg,1.0,,
82744739.jpg,1.0,,
79511434.jpg,3.0,,
101777919.jpg,1.0,,
110211183.jpg,3.0,"{""x1"": 0, ""y1"": 240, ""x2"": 244, ""y2"": 299}","{""x1"": 118, ""y1"": 417, ""x2"": 197, ""y2"": 487}"
119844449.jpg,0.0,,
91644668.jpg,1.0,"{""x1"": 40, ""y1"": 304, ""x2"": 224, ""y2"": 346}",
80311426.jpg,1.0,,
121811127.jpg,0.0,,
84811392.jpg,3.0,"{""x1"": 1, ""y1"": 370, ""x2"": 241, ""y2"": 440}","{""x1"": 127, ""y1"": 38, ""x2"": 199, ""y2"": 105}"
106644539.jpg,3.0,,
106944558.jpg,3.0,,
110811182.jpg,3.0,,
122177819.jpg,0.0,,
85644710.jpg,3.0,,
110311188.jpg,3.0,,
112977838.jpg,3.0,,
80444754.jpg,1.0,"{""x1"": 0, ""y1"": 194, ""x2"": 245, ""y2"": 254}","{""x1"": 43, ""y1"": 412, ""x2"": 208, ""y2"": 453}"
90178031.jpg,0.0,,
93777992.jpg,1.0,,
98844606.jpg,1.0,,
101877920.jpg,1.0,,
104278737.jpg,0.0,,
114211159.jpg,0.0,,
114111157.jpg,0.0,,
106511257.jpg,3.0,,
97777952.jpg,1.0,,
77544769.jpg,3.0,,
82511413.jpg,1.0,,
102577907.jpg,0.0,,
95511311.jpg,1.0,,
98011296.jpg,1.0,,
118544459.jpg,0.0,,
83544739.jpg,1.0,,
123777751.jpg,0.0,,
110911184.jpg,3.0,,
103544588.jpg,0.0,,
91777999.jpg,1.0,"{""x1"": 28, ""y1"": 234, ""x2"": 228, ""y2"": 281}",
122544423.jpg,0.0,,
124444410.jpg,0.0,,
94744638.jpg,1.0,,
122311093.jpg,0.0,,
82278076.jpg,1.0,,
90978012.jpg,0.0,,
89778017.jpg,0.0,,
79744762.jpg,1.0,,
111044516.jpg,3.0,,
104044575.jpg,0.0,,
90411355.jpg,0.0,,
81578080.jpg,1.0,,
82178071.jpg,1.0,,
81678115.jpg,1.0,,
124811070.jpg,0.0,,
100011279.jpg,1.0,"{""x1"": 0, ""y1"": 409, ""x2"": 242, ""y2"": 486}",
124577785.jpg,0.0,,
121477761.jpg,0.0,,
75878126.jpg,3.0,,
112877829.jpg,3.0,,
115244474.jpg,0.0,,
113677854.jpg,0.0,,
80211420.jpg,1.0,"{""x1"": 2, ""y1"": 209, ""x2"": 241, ""y2"": 254}","{""x1"": 59, ""y1"": 426, ""x2"": 211, ""y2"": 452}"
76144786.jpg,3.0,,
118211122.jpg,0.0,,
123211080.jpg,0.0,,
105944551.jpg,3.0,,
99344604.jpg,1.0,,
102911237.jpg,0.0,,
